Turnamen Name,Team,Game,Net total,Net Mean,Net Min,Net Max,XPM Total,XPM Max,XPM Min,XPM Mean,GPM Total,GPM Max,GPM Min,GPM Mean,Game Time,Label
The International 2022,BetBoom,GroupStageDay1.5C_Game2,41700,8340,4900,13200,2063,560,262,412.6,1807,539,235,361.4,27,LOSE
The International 2022,OG,GroupStageDay1.1D_Game1,117500,23500,11200,39700,2971,777,399,594.2,2668,811,288,533.6,50,WIN
The International 2022,Boom Esport,GroupStageDay1.1D_Game1,92500,18500,10700,28600,2593,645,358,518.6,2226,606,297,445.2,50,LOSE
The International 2022,OG,GroupStageDay1.1D_Game2,156000,31200,15900,47500,3104,800,449,620.8,3002,962,346,600.4,57,WIN
The International 2022,Boom Esport,GroupStageDay1.1D_Game2,126800,25360,11800,43000,2901,722,461,580.2,2720,817,299,544,57,LOSE
The International 2022,TSM,GroupStageDay1.2D_Game1,75500,15100,5800,22900,2738,676,358,547.6,2062,569,242,412.4,45,LOSE
The International 2022,Talon,GroupStageDay1.2D_Game1,105500,21100,7200,31400,3612,833,265,722.4,2681,744,265,536.2,45,WIN
The International 2022,TSM,GroupStageDay1.2D_Game2,84500,16900,8100,26500,3301,848,500,660.2,2524,754,295,504.8,39,WIN
The International 2022,Talon,GroupStageDay1.2D_Game2,71000,14200,5700,21600,2694,766,300,538.8,2101,618,225,420.2,39,LOSE
The International 2022,OG,GroupStageDay1.3D_Game1,75300,15060,6600,22000,3293,884,366,658.6,2391,660,249,478.2,36,WIN
The International 2022,Gaimin Gladiators,GroupStageDay1.3D_Game1,54300,10860,5500,15600,1986,545,278,397.2,1778,462,224,355.6,36,LOSE
The International 2022,OG,GroupStageDay1.3D_Game2,90200,18040,6600,30800,3254,777,432,650.8,2546,817,284,509.2,40,WIN
The International 2022,Gaimin Gladiators,GroupStageDay1.3D_Game2,68800,13760,6500,20400,2781,667,412,556.2,2139,570,282,427.8,40,LOSE
The International 2022,TSM,GroupStageDay1.4D_Game1,104200,20840,11700,35200,3316,898,455,663.2,2559,854,325,511.8,49,WIN
The International 2022,Tundra,GroupStageDay1.4D_Game1,80100,16020,8600,21200,2724,639,450,544.8,2028,468,275,405.6,49,LOSE
The International 2022,TSM,GroupStageDay1.4D_Game2,43900,8780,2800,14900,1821,521,240,364.2,1661,519,205,332.2,31,LOSE
The International 2022,Tundra,GroupStageDay1.4D_Game2,67100,13420,7200,19800,2897,695,451,579.4,2390,522,318,478,31,WIN
The International 2022,Royal Never Give Up,GroupStageDay1.5D_Game1,111200,22240,13100,30900,3179,761,511,635.8,2451,691,335,490.2,52,WIN
The International 2022,Boom Esport,GroupStageDay1.5D_Game1,84600,16920,10100,25300,2498,670,291,499.6,2113,642,255,422.6,52,LOSE
The International 2022,Royal Never Give Up,GroupStageDay1.5D_Game2,173300,34660,13300,54900,2921,757,441,584.2,2637,777,323,527.4,71,WIN
The International 2022,Boom Esport,GroupStageDay1.5D_Game2,168700,33740,8500,63600,2891,818,339,578.2,2684,970,204,536.8,71,LOSE
The International 2022,Gaimin Gladiators,GroupStageDay1.1E_Game1,103100,20620,11800,36300,3102,689,466,620.4,2345,669,309,469,46,WIN
The International 2022,BetBoom,GroupStageDay1.1E_Game1,82700,16540,8700,22900,2282,730,379,456.4,2207,595,255,441.4,46,LOSE
The International 2022,Gaimin Gladiators,GroupStageDay1.1E_Game2,132700,26540,13100,51200,3316,792,502,663.2,2754,995,307,550.8,55,WIN
The International 2022,BetBoom,GroupStageDay1.1E_Game2,102500,20500,11400,32500,3166,827,463,633.2,2426,719,342,485.2,55,LOSE
The International 2022,Tundra,GroupStageDay1.2E_Game1,53700,10740,5400,15800,2363,561,337,472.6,1876,523,241,375.2,36,LOSE
The International 2022,Aster,GroupStageDay1.2E_Game1,77500,15500,8200,26300,3340,888,485,668,2403,768,286,480.6,36,WIN
The International 2022,Tundra,GroupStageDay1.2E_Game2,138000,27600,13000,47700,3551,879,538,710.2,2799,840,338,559.8,54,WIN
The International 2022,Aster,GroupStageDay1.2E_Game2,84700,16940,10000,27300,2622,700,315,524.4,2023,580,270,404.6,54,LOSE
The International 2022,Royal Never Give Up,GroupStageDay1.3E_Game1,120000,24000,11700,45000,2960,667,484,592,2540,873,297,508,57,WIN
The International 2022,BetBoom,GroupStageDay1.3E_Game1,103100,20620,8600,33600,2985,792,421,597,2292,691,276,458.4,57,LOSE
The International 2022,Royal Never Give Up,GroupStageDay1.3E_Game2,110600,22120,9300,42800,3543,927,420,708.6,2567,808,299,513.4,48,WIN
The International 2022,BetBoom,GroupStageDay1.3E_Game2,82200,16440,9300,24100,2933,669,460,586.6,2161,569,288,432.2,48,LOSE
The International 2022,Talon,GroupStageDay1.4E_Game1,58900,11780,4800,18700,2262,706,281,452.4,1900,590,204,380,38,LOSE
The International 2022,Aster,GroupStageDay1.4E_Game1,88600,17720,8900,28800,3324,899,399,664.8,2549,776,329,509.8,38,WIN
The International 2022,Talon,GroupStageDay1.4E_Game2,48300,9660,2600,16600,1871,627,187,374.2,1709,544,191,341.8,33,LOSE
The International 2022,Aster,GroupStageDay1.4E_Game2,74300,14860,8500,20400,2886,668,462,577.2,2462,612,344,492.4,33,WIN
The International 2022,Hokori,GroupStageDay1.5E_Game1,92900,18580,10000,29300,3329,860,462,665.8,2637,834,352,527.4,38,WIN
The International 2022,Gaimin Gladiators,GroupStageDay1.5E_Game1,69400,13880,8600,18600,2647,716,337,529.4,2206,570,295,441.2,38,LOSE
The International 2022,Hokori,GroupStageDay1.5E_Game2,69600,13920,5100,22700,2414,786,247,482.8,1939,607,176,387.8,45,LOSE
The International 2022,Gaimin Gladiators,GroupStageDay1.5E_Game2,116000,23200,14600,29200,3662,869,609,732.4,2828,779,395,565.6,45,WIN
The International 2022,Secret,GroupStageDay2.1A_Game1,109700,21940,12900,30900,3609,850,604,721.8,2688,697,367,537.6,51,WIN
The International 2022,Fnatic,GroupStageDay2.1A_Game1,96700,19340,8100,29100,2866,725,415,573.2,2285,638,268,457,51,LOSE
The International 2022,Secret,GroupStageDay2.1A_Game2,93500,18700,10300,27400,2812,731,412,562.4,2341,662,273,468.2,50,LOSE
The International 2022,Fnatic,GroupStageDay2.1A_Game2,122200,24440,13300,35400,3464,775,565,692.8,2665,778,345,533,50,WIN
